"mean","std_err","species","rbs","promoter","growth_defect"
85.128647242327,3.40841182321861,"e_coli","B0033m","J23103","no"
11477.0950688589,12.1969935141084,"e_coli","RiboJ_BCD-2","J23103","no"
84.9364741226101,0.203709547856955,"e_coli","B0032m","J23103","no"
11369.9026912657,12.8182224046472,"e_coli","BCD-2","J23103","no"
3407.56150501081,4.4822157306776,"e_coli","B0034m","J23103","no"
11728.3793716576,12.9030401604064,"e_coli","RiboJ_UTR1","J23103","no"
949.766480135072,1.47885499930639,"e_coli","B0033m","J23106","no"
26169.6376909881,28.2404875236531,"e_coli","RiboJ_BCD-2","J23106","no"
1464.64300083067,2.47703909214898,"e_coli","B0032m","J23106","no"
21807.3248443827,24.641069030524,"e_coli","BCD-2","J23106","no"
12524.1840588301,15.0635879045389,"e_coli","B0034m","J23106","no"
35605.0545673592,37.7748798607279,"e_coli","RiboJ_UTR1","J23106","no"
3735.34402749034,6.19122119375407,"e_coli","B0033m","J23100","no"
57738.9963780047,65.5790564064698,"e_coli","RiboJ_BCD-2","J23100","no"
6286.21677262587,9.12528306320353,"e_coli","B0032m","J23100","no"
55740.2806622093,67.5808927265143,"e_coli","BCD-2","J23100","no"
24371.8287939284,31.1554132164215,"e_coli","B0034m","J23100","no"
94680.0827193908,104.978528102949,"e_coli","RiboJ_UTR1","J23100","no"
3061.35858579927,49.7711338307903,"p_putida","B0033m","J23103","no"
23530.6823795039,43.1116666403751,"p_putida","RiboJ_BCD-2","J23103","no"
2733.50120347673,4.44102975272405,"p_putida","B0032m","J23103","no"
21804.6118664997,39.7430668544462,"p_putida","BCD-2","J23103","no"
15523.070153547,30.837757830681,"p_putida","B0034m","J23103","no"
25901.8899555571,36.6755938682882,"p_putida","RiboJ_UTR1","J23103","no"
8597.77576615144,16.199480073088,"p_putida","B0033m","J23106","no"
148607.54070168,209.118875184828,"p_putida","RiboJ_BCD-2","J23106","no"
9291.21052335399,21.6457265571419,"p_putida","B0032m","J23106","no"
47407.6945698945,101.355616069213,"p_putida","BCD-2","J23106","no"
28335.0164594674,63.689478589604,"p_putida","B0034m","J23106","no"
104219.54851629,239.062367210606,"p_putida","RiboJ_UTR1","J23106","no"
34295.9534089429,48.1390434790303,"p_putida","B0033m","J23100","no"
439118.608876419,628.016449151452,"p_putida","RiboJ_BCD-2","J23100","no"
32157.8251612907,69.0658622112012,"p_putida","B0032m","J23100","no"
167679.631040003,304.621208827935,"p_putida","BCD-2","J23100","no"
73379.337768011,145.867378440191,"p_putida","B0034m","J23100","no"
493329.707409567,567.611873279002,"p_putida","RiboJ_UTR1","J23100","no"
3844.65538014003,6.13588997025134,"c_necator","B0033m","J23103","yes"
31409.7691274131,41.7143905692264,"c_necator","RiboJ_BCD-2","J23103","yes"
4054.10117052448,5.09753553219471,"c_necator","B0032m","J23103","no"
18084.6008105921,29.4889807319352,"c_necator","BCD-2","J23103","no"
5393.91612166833,6.46638374525126,"c_necator","B0034m","J23103","no"
67887.9622469178,79.2050115386106,"c_necator","RiboJ_UTR1","J23103","no"
6936.26611375177,54.7895472157129,"c_necator","B0033m","J23106","no"
201888.097612716,227.091427517755,"c_necator","RiboJ_BCD-2","J23106","yes"
16318.0768507611,26.0562566516317,"c_necator","B0032m","J23106","no"
67744.3238770766,73.7025890548255,"c_necator","BCD-2","J23106","no"
16706.2464505195,22.067665807005,"c_necator","B0034m","J23106","no"
185417.422165911,283.083489934428,"c_necator","RiboJ_UTR1","J23106","no"
56358.066947521,73.2267314015262,"c_necator","B0033m","J23100","no"
444084.019580858,521.225976869967,"c_necator","RiboJ_BCD-2","J23100","yes"
78220.2804917031,130.699916041524,"c_necator","B0032m","J23100","no"
292775.482906078,416.831088588451,"c_necator","BCD-2","J23100","no"
60621.7822750108,59.4951535398388,"c_necator","B0034m","J23100","no"
449713.306261905,686.407989090622,"c_necator","RiboJ_UTR1","J23100","yes"
199.770383869344,0.3141250163445,"k_nataicola","B0033m","J23103","yes"
40143.7565745705,96.3520137149086,"k_nataicola","RiboJ_BCD-2","J23103","no"
1643.83545339013,3.47590225354367,"k_nataicola","B0032m","J23103","yes"
4013.08796642492,14.8953859446859,"k_nataicola","BCD-2","J23103","yes"
5069.37821176419,14.1724988163109,"k_nataicola","B0034m","J23103","yes"
45287.9175225827,100.736612523939,"k_nataicola","RiboJ_UTR1","J23103","no"
2543.16289877573,5.57305459522699,"k_nataicola","B0033m","J23106","yes"
181877.075058249,358.069412708202,"k_nataicola","RiboJ_BCD-2","J23106","no"
2657.31623001477,7.66843985932848,"k_nataicola","B0032m","J23106","yes"
16506.0456727321,53.7326603999579,"k_nataicola","BCD-2","J23106","no"
6653.82073352751,16.6845155478896,"k_nataicola","B0034m","J23106","yes"
121652.750964648,302.927161320466,"k_nataicola","RiboJ_UTR1","J23106","no"
298.294953511538,1.26313787291144,"k_nataicola","B0033m","J23100","no"
517.141453681197,11.9096054389718,"k_nataicola","RiboJ_BCD-2","J23100","no"
30252.8097614125,69.8468542437568,"k_nataicola","B0032m","J23100","no"
48794.4416552794,173.574535361946,"k_nataicola","BCD-2","J23100","no"
31083.5519040368,55.3558981926256,"k_nataicola","B0034m","J23100","no"
135.716972399082,5.81879572692614,"k_nataicola","RiboJ_UTR1","J23100","no"
